message,level
¡Gana dinero rápido trabajando desde casa! Haz clic aquí ahora.,1
"Has sido seleccionado para un premio exclusivo, reclama tu regalo gratis.",1
"Oferta limitada: compra un iPhone por solo 99€, haz clic en el enlace.",1
"Tu cuenta bancaria será bloqueada, verifica tus datos inmediatamente.",1
"Crédito aprobado sin requisitos, transfiere tu solicitud aquí.",1
¡Consigue 50% de descuento en medicamentos! Ordena en línea hoy.,1
Invierte en criptomonedas y duplica tu dinero en una semana.,1
"Has ganado un viaje gratis a Cancún, confirma tus datos aquí.",1
"Recibe préstamos instantáneos con solo tu DNI, sin verificación.",1
Descarga esta aplicación para obtener internet gratis ilimitado.,1
"Hola, ¿vas a la reunión mañana en la oficina?",0
Te envío los apuntes de la clase de matemáticas.,0
¿Quieres almorzar juntos hoy en el restaurante nuevo?,0
"Mi abuela cumple 70 años el sábado, ¿vienes a la fiesta?",0
"Ya terminé el proyecto, lo revisamos en la tarde.",0
¿Me puedes pasar la dirección de la tienda de ropa?,0
"Hoy entrenamos a las 6 pm en el gimnasio, no faltes.",0
"El autobús llegará en 10 minutos, prepárate.",0
"Estoy viendo una película muy buena, te la recomiendo.",0
"Mañana tengo cita con el doctor, después hablamos.",0
¡Gana dinero rápido trabajando desde casa! Haz clic aquí ahora.,1
"Has sido seleccionado para un premio exclusivo, reclama tu regalo gratis.",1
"Oferta limitada: compra un iPhone por solo 99€, haz clic en el enlace.",1
"Tu cuenta bancaria será bloqueada, verifica tus datos inmediatamente.",1
"Crédito aprobado sin requisitos, transfiere tu solicitud aquí.",1
¡Consigue 50% de descuento en medicamentos! Ordena en línea hoy.,1
Invierte en criptomonedas y duplica tu dinero en una semana.,1
"Has ganado un viaje gratis a Cancún, confirma tus datos aquí.",1
"Recibe préstamos instantáneos con solo tu DNI, sin verificación.",1
Descarga esta aplicación para obtener internet gratis ilimitado.,1
"Felicidades, eres el ganador de un auto nuevo, confirma tus datos.",1
"Compra ahora y recibe envío gratis, solo por hoy.",1
Última oportunidad: consigue tu tarjeta de regalo de Amazon.,1
Haz clic aquí para recibir tu herencia millonaria.,1
"Tu contraseña expirará pronto, actualízala en este enlace.",1
"Cupón especial de descuento en vuelos, solo 24 horas.",1
"Atención: su cuenta de PayPal ha sido bloqueada, verifique ahora.",1
"Suscripción premium gratis por un año, haz clic para activarla.",1
"Obtén acceso a películas y series gratis, descarga la app.",1
"Adelanto de sueldo instantáneo sin intereses, solicita aquí.",1
"Hola, ¿vas a la reunión mañana en la oficina?",0
Te envío los apuntes de la clase de matemáticas.,0
¿Quieres almorzar juntos hoy en el restaurante nuevo?,0
"Mi abuela cumple 70 años el sábado, ¿vienes a la fiesta?",0
"Ya terminé el proyecto, lo revisamos en la tarde.",0
¿Me puedes pasar la dirección de la tienda de ropa?,0
"Hoy entrenamos a las 6 pm en el gimnasio, no faltes.",0
"El autobús llegará en 10 minutos, prepárate.",0
"Estoy viendo una película muy buena, te la recomiendo.",0
"Mañana tengo cita con el doctor, después hablamos.",0
"Buenas tardes, ¿confirmas tu asistencia a la clase de inglés?",0
Te mando la receta del pastel que me pediste.,0
¿Vienes conmigo al cine esta noche?,0
Recuerda llevar los documentos para la reunión del lunes.,0
El paquete ya fue entregado en tu casa.,0
Nos vemos en la universidad a las 9 am.,0
Te llamo cuando salga del trabajo.,0
"Hoy hay partido de fútbol, ¿quieres venir?",0
"Estoy de camino a tu casa, llego en 15 minutos.",0
¡Haz clic aquí para ganar una tarjeta de regalo de 500€!,1
"Descarga música ilimitada gratis, sin pagar nada.",1
Reclamación urgente: confirme su dirección postal ahora.,1
"Bono especial por registrarte en nuestra plataforma, obtén 200€.",1
"Tu banco necesita verificación inmediata, accede aquí.",1
"Increíble oferta de préstamos en 5 minutos, sin papeles.",1
Suscríbete y recibe contenido exclusivo gratis.,1
"Recupera tu cuenta de correo, verifícala aquí.",1
Última notificación: tu premio será cancelado si no confirmas.,1
Oportunidad única: compra oro a mitad de precio.,1
Necesito que revises este documento antes de la clase.,0
¿Quieres que te recoja en la estación?,0
Ya hice la compra del supermercado.,0
El profesor cambió la fecha del examen.,0
Te paso la contraseña del wifi: 12345.,0
Nos vemos en el café de siempre.,0
"Hoy hace mucho calor, ¿vamos a la piscina?",0
¿Puedes traerme el libro de historia mañana?,0
Estoy preparando la presentación del proyecto.,0
"Hoy cenamos en familia, no llegues tarde.",0
Recibe dinero gratis solo con registrarte en esta web.,1
Haz clic para ver quién te envió un mensaje secreto.,1
Compra entradas para el concierto antes de que se agoten.,1
Descubre el secreto para bajar de peso en una semana.,1
Confirma tu información para evitar la suspensión de tu cuenta.,1
Gana 1000€ diarios con este método secreto.,1
Regístrate ahora y recibe un bono de bienvenida.,1
"Nuevo servicio de TV gratis disponible, descárgalo ya.",1
"Te transferimos dinero instantáneo, sin garantía.",1
¡Felicidades! Tu correo fue seleccionado para un premio.,1
Voy de viaje a Madrid mañana.,0
¿Tienes tiempo para una videollamada hoy?,0
Ya te envié los documentos por correo.,0
El clima está perfecto para caminar.,0
El doctor dijo que todo está bien en los análisis.,0
"El bus estaba lleno, llego un poco tarde.",0
"Te recomiendo esta serie, está buenísima.",0
¿Puedes traer pan cuando vengas?,0
Hoy tenemos reunión de grupo en la biblioteca.,0
¿Qué vas a cocinar esta noche?,0
"Reclama tu premio de lotería aquí, última oportunidad.",1
Suscríbete y obtén acceso VIP gratis.,1
Descarga este software y gana dinero automáticamente.,1
"Tu paquete está retenido en aduana, paga aquí para liberarlo.",1
¡Atención! Tu tarjeta de crédito será cancelada si no verificas.,1
Oferta exclusiva: hoteles 70% más baratos.,1
No pierdas esta oportunidad de invertir y triplicar tu dinero.,1
¡Consigue bitcoins gratis registrándote aquí!,1
Haz clic para ver fotos privadas.,1
"Su suscripción expiró, renuévela aquí con descuento.",1
Ayer vi una película muy divertida.,0
¿Me ayudas a hacer la tarea de programación?,0
El examen será la próxima semana.,0
¿Puedes prestarme tu cargador de celular?,0
Estoy escuchando música ahora mismo.,0
Nos vemos en la cafetería de la esquina.,0
Voy a salir a correr al parque.,0
"Hoy toca limpiar la casa, ¿me ayudas?",0
¿Qué tal tu fin de semana?,0
Mi hermana viene a visitarnos mañana.,0
